Time,Commanded,Actual
0.0,0.0,0.0
0.003,0.0,0.0
0.006,0.0,0.0
0.009,0.0,0.0
0.012,0.0,0.0
0.015,0.0,0.0
0.018,0.0,0.0
0.021,0.0,0.0
0.024,0.0,0.0
0.027,0.0,0.0
0.03,0.0,0.0
0.033,0.0,0.0
0.036,0.0,0.0
0.039,0.0,0.0
0.042,0.0,0.0
0.045,0.0,0.0
0.048,0.0,0.0
0.051,0.0,0.0
0.054,0.0,0.0
0.057,0.0,0.0
0.06,0.0,0.0
0.063,0.0,0.0
0.066,0.0,0.0
0.069,0.0,0.0
0.072,0.0,0.0
0.075,0.0,0.0
0.078,0.0,0.0
0.081,0.0,0.0
0.084,0.0,0.0
0.087,0.0,0.0
0.09,0.0,0.0
0.093,0.0,0.0
0.096,0.0,0.0
0.099,0.0,0.0
0.102,0.0,0.0
0.105,0.0,0.0
0.108,-0.003665191429188092,-2.7077901430795763e-05
0.111,-0.003665191429188092,-0.00012811361126057366
0.114,-0.003665191429188092,-0.0003095122032073595
0.117,-0.003665191429188092,-0.000546694233018261
0.12,-0.003665191429188092,-0.0008193099738457752
0.123,-0.003665191429188092,-0.0011108292386613912
0.126,-0.003665191429188092,-0.0014081164242037033
0.129,-0.025132741228718343,-0.0018596060057508167
0.132,-0.025132741228718343,-0.002732276452165567
0.135,-0.025132741228718343,-0.004058212452403268
0.138,-0.025132741228718343,-0.00568983183498095
0.141,-0.025132741228718343,-0.007505813465443969
0.144,-0.025132741228718343,-0.009408402106370835
0.147,-0.025132741228718343,-0.01132066141694804
0.15,-0.047647488579445195,-0.013350104352562023
0.153,-0.047647488579445195,-0.015741404782464146
0.156,-0.047647488579445195,-0.018503693508376284
0.159,-0.047647488579445195,-0.02146661878163048
0.162,-0.047647488579445195,-0.02449463953928468
0.165,-0.047647488579445195,-0.027482705826688752
0.168,-0.047647488579445195,-0.030352071195539912
0.171,-0.05672320068981571,-0.0331133793065813
0.174,-0.05672320068981571,-0.035844971666000355
0.177,-0.05672320068981571,-0.03854028243635424
0.18,-0.05672320068981571,-0.04112833813715952
0.183,-0.05672320068981571,-0.043558308201730185
0.186,-0.05672320068981571,-0.04579618989581847
0.189,-0.05672320068981571,-0.04782178875475019
0.192,-0.06544984694978735,-0.049690484291778504
0.195,-0.06544984694978735,-0.05151351986728533
0.198,-0.06544984694978735,-0.05331241301053994
0.201,-0.06544984694978735,-0.055039777562762564
0.204,-0.06544984694978735,-0.05666167358076887
0.207,-0.06544984694978735,-0.058155394635376514
0.21,-0.06544984694978735,-0.05950745231319774
0.213,-0.06021385919380437,-0.06067308760494452
0.216,-0.06021385919380437,-0.0615850719899499
0.219,-0.06021385919380437,-0.06223843317167349
0.222,-0.06021385919380437,-0.06267571338178896
0.225,-0.06021385919380437,-0.06293566633662388
0.228,-0.06021385919380437,-0.06305301803686564
0.231,-0.06021385919380437,-0.06305840379695186
0.234,-0.04276056667386108,-0.06284949883175699
0.237,-0.04276056667386108,-0.0622258396315202
